car brand,model,generation_name,year,mileage,vol_engine,fuel,city,province,price (PLN)
opel,combo,gen-d-2011,2016,47600,1248,Diesel,Korfantów,Opolskie,30800
opel,combo,gen-d-2011,2014,103000,1400,CNG,Tarnowskie Góry,Śląskie,35900
opel,combo,gen-d-2011,2017,121203,1598,Diesel,Warszawa,Mazowieckie,51900
opel,combo,gen-d-2011,2017,119965,1248,Diesel,Wrocław,Dolnośląskie,44700
opel,combo,gen-d-2011,2016,201658,1248,Diesel,Lublin,Lubelskie,29000
opel,combo,gen-d-2011,2014,178666,1598,Diesel,Złotów,Wielkopolskie,28900
opel,combo,gen-d-2011,2015,113000,1248,Diesel,Strzyżew,Mazowieckie,34900
opel,combo,gen-d-2011,2012,237000,1598,Diesel,Elbląg,Warmińsko-mazurskie,24800
opel,combo,gen-d-2011,2017,137000,1248,Diesel,Warszawa,Mazowieckie,39900
opel,combo,gen-d-2011,2016,154000,1248,Diesel,Sosnowiec,Śląskie,35900
opel,combo,gen-d-2011,2017,59339,1248,Diesel,Wrocław,Dolnośląskie,55300
opel,combo,gen-d-2011,2016,137445,1598,Diesel,Opole,Opolskie,34700
opel,combo,gen-d-2011,2016,141859,1248,Diesel,Katowice,Śląskie,39900
opel,combo,gen-d-2011,2012,195000,1598,Diesel,Radom,Mazowieckie,25900
opel,combo,gen-d-2011,2015,180000,1598,Diesel,Chmieleń,Dolnośląskie,32900
opel,combo,gen-d-2011,2018,107515,1499,Diesel,Piaseczno,Mazowieckie,62000
opel,combo,gen-d-2011,2017,149000,1598,Diesel,Góra Kalwaria,Mazowieckie,39852
opel,combo,gen-d-2011,2017,101800,1248,Diesel,Legnica,Dolnośląskie,44990
opel,combo,gen-d-2011,2012,164000,1598,Diesel,Wodzisław Śląski,Śląskie,15500
opel,combo,gen-d-2011,2016,124000,1368,Gasoline,Wolbrom,Małopolskie,40900
opel,combo,gen-d-2011,2018,91000,1600,Diesel,Warszawa,Mazowieckie,53600
opel,combo,gen-d-2011,2016,155450,1598,Diesel,Pogorzela,Wielkopolskie,37500
opel,combo,gen-d-2011,2015,125327,1598,Diesel,Zawiercie,Śląskie,39900
opel,combo,gen-d-2011,2018,185000,1248,Diesel,Wyszków,Mazowieckie,39975
opel,combo,gen-d-2011,2015,195000,1248,Diesel,Jasło,Podkarpackie,20999
opel,combo,gen-d-2011,2015,135000,1248,Diesel,Kraków,Małopolskie,39000
opel,combo,gen-d-2011,2018,135403,1499,Diesel,Piaseczno,Mazowieckie,62000
opel,combo,gen-d-2011,2018,117320,1598,Diesel,Tarnowskie Góry,Śląskie,53874
opel,combo,gen-d-2011,2016,133700,1598,Diesel,Stróża,Małopolskie,38900
opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
opel,vectra,gen-c-2002-2008,2005,327255,1910,Diesel,Kraków,Małopolskie,10900
opel,vectra,gen-c-2002-2008,2004,398119,1910,Diesel,Lublin,Lubelskie,4500
opel,vectra,gen-c-2002-2008,2004,169117,1597,Gasoline,Poznań,Wielkopolskie,8500
opel,vectra,gen-c-2002-2008,2006,157000,1796,Gasoline,Sade Budy,Mazowieckie,16800
opel,vectra,gen-c-2002-2008,2007,320000,1910,Diesel,Michów,Lubelskie,8500
opel,vectra,gen-c-2002-2008,2008,206570,2198,Gasoline,Konin,Śląskie,18900
opel,vectra,gen-c-2002-2008,2008,232000,1910,Diesel,Częstochowa,Śląskie,18900
opel,vectra,gen-c-2002-2008,2005,375000,1910,Diesel,Rudawa,Małopolskie,3800
opel,vectra,gen-c-2002-2008,2002,242000,1796,Gasoline,Borów,Dolnośląskie,7900
opel,vectra,gen-c-2002-2008,2007,221000,1910,Diesel,Szynkielów,Łódzkie,13500
opel,vectra,gen-c-2002-2008,2006,268000,1910,Diesel,Sochaczew,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2007,132000,1598,Gasoline,Zawisna,Śląskie,13900
opel,vectra,gen-c-2002-2008,2005,236215,2198,Gasoline,Środa Śląska,Dolnośląskie,7850
opel,vectra,gen-c-2002-2008,2006,160000,2198,Gasoline,Bydgoszcz,Kujawsko-pomorskie,15200
opel,vectra,gen-c-2002-2008,2003,350000,3175,Gasoline,Drawsko Pomorskie,Zachodniopomorskie,6850
opel,vectra,gen-c-2002-2008,2008,238000,2958,Diesel,Poznań,Wielkopolskie,11000
opel,vectra,gen-c-2002-2008,2007,199000,2792,Gasoline,Swarzędz,Wielkopolskie,19999
opel,vectra,gen-c-2002-2008,2005,301000,1998,LPG,Szamotuły,Wielkopolskie,8500
opel,vectra,gen-c-2002-2008,2003,286000,1796,Gasoline,Panki,Śląskie,7000
opel,vectra,gen-c-2002-2008,2005,296100,1995,Diesel,Siedlce,Mazowieckie,5500
opel,vectra,gen-c-2002-2008,2007,173000,2792,Gasoline,Poznań,Wielkopolskie,28500
opel,vectra,gen-c-2002-2008,2002,173000,1796,Gasoline,Mysłowice,Śląskie,6900
opel,vectra,gen-c-2002-2008,2002,109900,1796,Gasoline,Mogilno,Kujawsko-pomorskie,8999
opel,vectra,gen-c-2002-2008,2002,152700,1796,Gasoline,Żywocice,Opolskie,7999
opel,vectra,gen-c-2002-2008,2002,220000,2198,LPG,Szczecin,Zachodniopomorskie,4500
opel,vectra,gen-c-2002-2008,2006,400000,1910,Diesel,Grodzisk Mazowiecki,Mazowieckie,11000
opel,vectra,gen-c-2002-2008,2006,191000,1796,Gasoline,Płońsk,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2008,283340,1910,Diesel,Białystok,Podlaskie,10500
opel,vectra,gen-c-2002-2008,2005,174000,3000,Diesel,Sade Budy,Mazowieckie,7200
opel,vectra,gen-c-2002-2008,2008,223000,1910,Diesel,Witkowo,Wielkopolskie,16950
opel,vectra,gen-c-2002-2008,2003,281185,1796,LPG,Poznań,Wielkopolskie,13000
opel,vectra,gen-c-2002-2008,2008,320000,1910,Diesel,Stargard Szczeciński,Zachodniopomorskie,8900
opel,agila,gen-b-2008,2009,149000,996,Gasoline,Warszawa,Mazowieckie,11500
opel,agila,gen-b-2008,2011,100942,1242,Gasoline,Skarżysko-Kamienna,Świętokrzyskie,16300
opel,agila,gen-b-2008,2009,57700,1242,Gasoline,Bydgoszcz,Kujawsko-pomorskie,13400
opel,agila,gen-b-2008,2008,93000,996,Gasoline,Gryfino,Zachodniopomorskie,12800
opel,agila,gen-b-2008,2009,146000,996,Gasoline,Bytom,Śląskie,13500
opel,agila,gen-b-2008,2010,155324,1242,Gasoline,Przemyśl,Podkarpackie,21500
opel,agila,gen-b-2008,2008,125000,996,Gasoline,Orchowo,Wielkopolskie,11900
opel,agila,gen-b-2008,2009,190000,1200,Gasoline,Żyrardów,Mazowieckie,13999
opel,agila,gen-b-2008,2008,142353,1248,Diesel,Nysa,Opolskie,12900
opel,agila,gen-b-2008,2008,180000,996,Gasoline,Wiązów,Dolnośląskie,10500
opel,agila,gen-b-2008,2012,79717,996,Gasoline,Radzymin,Mazowieckie,18700
opel,agila,gen-b-2008,2009,91437,996,Gasoline,Kielce,Świętokrzyskie,14900
opel,agila,gen-b-2008,2009,53000,1242,Gasoline,Nowy Sącz,Małopolskie,26999
opel,agila,gen-b-2008,2008,170000,1000,Gasoline,Płońsk,Mazowieckie,12900
opel,agila,gen-b-2008,2010,111000,1200,Gasoline,Łodygowice,Śląskie,16700
opel,agila,gen-b-2008,2009,182223,996,Gasoline,Świebodzin,Lubuskie,13999
opel,agila,gen-b-2008,2009,134000,1229,Gasoline,Opole Lubelskie,Lubelskie,12999
opel,agila,gen-b-2008,2010,235000,1242,Gasoline,Radom,Mazowieckie,8800
opel,agila,gen-b-2008,2010,109079,1242,Gasoline,Zwoleń,Mazowieckie,17900
opel,agila,gen-b-2008,2010,160000,996,Gasoline,Bielsko-Biała,Śląskie,14900
opel,agila,gen-b-2008,2008,156000,996,Gasoline,Gubin,Lubuskie,9300
opel,agila,gen-b-2008,2009,151455,1242,Gasoline,Poznań,Wielkopolskie,11999
opel,agila,gen-b-2008,2008,154000,1248,Diesel,Gdańsk,Pomorskie,13900
opel,agila,gen-b-2008,2012,77000,996,Gasoline,Brzozówka,Kujawsko-pomorskie,17400
opel,agila,gen-b-2008,2010,112177,996,Gasoline,Turek,Wielkopolskie,9700
opel,agila,gen-b-2008,2012,120000,1242,Gasoline,Zagórze,Małopolskie,17990
opel,agila,gen-b-2008,2009,131000,1000,Gasoline,Sade Budy,Mazowieckie,11500
opel,agila,gen-b-2008,2008,78000,1242,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,agila,gen-b-2008,2010,123000,1242,Gasoline,Gliwice,Śląskie,16300
opel,agila,gen-b-2008,2012,153000,1242,Gasoline,Radomsko,Łódzkie,15500
opel,agila,gen-b-2008,2010,82000,996,LPG,Krzyszkowice,Małopolskie,18500
opel,agila,gen-b-2008,2008,159960,1242,Gasoline,Lublin,Lubelskie,14900
opel,agila,gen-b-2008,2009,149000,996,Gasoline,Warszawa,Mazowieckie,11500
opel,agila,gen-b-2008,2011,100942,1242,Gasoline,Skarżysko-Kamienna,Świętokrzyskie,16300
opel,agila,gen-b-2008,2009,57700,1242,Gasoline,Bydgoszcz,Kujawsko-pomorskie,13400
opel,agila,gen-b-2008,2008,93000,996,Gasoline,Gryfino,Zachodniopomorskie,12800
opel,agila,gen-b-2008,2009,146000,996,Gasoline,Bytom,Śląskie,13500
opel,agila,gen-b-2008,2010,155324,1242,Gasoline,Przemyśl,Podkarpackie,21500
opel,agila,gen-b-2008,2008,125000,996,Gasoline,Orchowo,Wielkopolskie,11900
opel,agila,gen-b-2008,2009,190000,1200,Gasoline,Żyrardów,Mazowieckie,13999
opel,agila,gen-b-2008,2008,142353,1248,Diesel,Nysa,Opolskie,12900
opel,agila,gen-b-2008,2008,180000,996,Gasoline,Wiązów,Dolnośląskie,10500
opel,agila,gen-b-2008,2012,79717,996,Gasoline,Radzymin,Mazowieckie,18700
opel,agila,gen-b-2008,2009,91437,996,Gasoline,Kielce,Świętokrzyskie,14900
opel,agila,gen-b-2008,2009,53000,1242,Gasoline,Nowy Sącz,Małopolskie,26999
opel,agila,gen-b-2008,2008,170000,1000,Gasoline,Płońsk,Mazowieckie,12900
opel,agila,gen-b-2008,2010,111000,1200,Gasoline,Łodygowice,Śląskie,16700
opel,agila,gen-b-2008,2009,182223,996,Gasoline,Świebodzin,Lubuskie,13999
opel,agila,gen-b-2008,2009,134000,1229,Gasoline,Opole Lubelskie,Lubelskie,12999
opel,agila,gen-b-2008,2010,235000,1242,Gasoline,Radom,Mazowieckie,8800
opel,agila,gen-b-2008,2010,109079,1242,Gasoline,Zwoleń,Mazowieckie,17900
opel,agila,gen-b-2008,2010,160000,996,Gasoline,Bielsko-Biała,Śląskie,14900
opel,agila,gen-b-2008,2008,156000,996,Gasoline,Gubin,Lubuskie,9300
opel,agila,gen-b-2008,2009,151455,1242,Gasoline,Poznań,Wielkopolskie,11999
opel,agila,gen-b-2008,2008,154000,1248,Diesel,Gdańsk,Pomorskie,13900
opel,agila,gen-b-2008,2012,77000,996,Gasoline,Brzozówka,Kujawsko-pomorskie,17400
opel,agila,gen-b-2008,2010,112177,996,Gasoline,Turek,Wielkopolskie,9700
opel,agila,gen-b-2008,2012,120000,1242,Gasoline,Zagórze,Małopolskie,17990
opel,agila,gen-b-2008,2009,131000,1000,Gasoline,Sade Budy,Mazowieckie,11500
opel,agila,gen-b-2008,2008,78000,1242,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,agila,gen-b-2008,2010,123000,1242,Gasoline,Gliwice,Śląskie,16300
opel,agila,gen-b-2008,2012,153000,1242,Gasoline,Radomsko,Łódzkie,15500
opel,agila,gen-b-2008,2010,82000,996,LPG,Krzyszkowice,Małopolskie,18500
opel,agila,gen-b-2008,2008,159960,1242,Gasoline,Lublin,Lubelskie,14900
opel,astra,gen-h-2004-2013,2006,179000,1364,Gasoline,Głowaczów,Mazowieckie,11500
opel,astra,gen-h-2004-2013,2006,155000,1796,Gasoline,Lublin,Lubelskie,15500
opel,astra,gen-h-2004-2013,2005,139400,1364,Gasoline,Rawicz,Wielkopolskie,12000
opel,astra,gen-h-2004-2013,2004,180000,1600,Gasoline,Kowala,Mazowieckie,10900
opel,astra,gen-h-2004-2013,2005,179000,1796,Gasoline,Płock,Mazowieckie,15900
opel,astra,gen-h-2004-2013,2008,175000,1598,Gasoline,Pruszków,Mazowieckie,16400
opel,astra,gen-h-2004-2013,2005,216200,1796,Gasoline,Rakowice Wielkie,Dolnośląskie,9300
opel,astra,gen-h-2004-2013,2005,201705,1910,Diesel,Rzeszów,Podkarpackie,10500
opel,astra,gen-h-2004-2013,2008,191000,1364,Gasoline,Trzebinia,Małopolskie,13900
opel,astra,gen-h-2004-2013,2008,169900,1598,Gasoline,Sokołów Podlaski,Mazowieckie,14900
opel,astra,gen-h-2004-2013,2004,198000,1598,Gasoline,Paniówki,Śląskie,11500
opel,astra,gen-h-2004-2013,2006,198000,1796,Gasoline,Wrocław,Dolnośląskie,13300
opel,astra,gen-h-2004-2013,2013,109953,1364,Gasoline,Warszawa,Mazowieckie,38900
opel,astra,gen-h-2004-2013,2008,114528,1598,Gasoline,Kraków,Małopolskie,18500
opel,astra,gen-h-2004-2013,2010,138620,1598,Gasoline,Kąty Opolskie,Opolskie,24999
opel,astra,gen-h-2004-2013,2006,315000,1796,LPG,Święciechowa,Wielkopolskie,7500
opel,astra,gen-h-2004-2013,2008,180300,1686,Diesel,Zambrów,Podlaskie,13600
opel,astra,gen-h-2004-2013,2005,320360,1686,Diesel,Płońsk,Mazowieckie,7800
opel,astra,gen-h-2004-2013,2005,258952,1910,Diesel,Wrocław,Dolnośląskie,12900
opel,astra,gen-h-2004-2013,2009,198900,1364,Gasoline,Przemyśl,Podkarpackie,15900
opel,astra,gen-h-2004-2013,2004,229748,1364,Gasoline,Siemianowice Śląskie,Śląskie,8900
opel,astra,gen-h-2004-2013,2005,255000,1598,Gasoline,Katowice,Śląskie,10499
opel,astra,gen-h-2004-2013,2012,180000,1398,Gasoline,Kutno,Łódzkie,28900
opel,astra,gen-h-2004-2013,2006,201000,1364,LPG,Graboszewo,Wielkopolskie,12300
opel,astra,gen-h-2004-2013,2010,185970,1598,Gasoline,Syców,Dolnośląskie,14900
opel,astra,gen-h-2004-2013,2010,121000,1364,Gasoline,Mogilno,Kujawsko-pomorskie,17290
opel,astra,gen-h-2004-2013,2005,144000,1796,Gasoline,Łódź,Łódzkie,12950
opel,astra,gen-h-2004-2013,2008,244000,1910,Diesel,Mogilno,Kujawsko-pomorskie,16400
opel,astra,gen-h-2004-2013,2008,171000,1598,Gasoline,Olsztyn,Warmińsko-mazurskie,16500
opel,astra,gen-h-2004-2013,2010,178701,1364,Gasoline,Warszawa,Mazowieckie,21900
opel,astra,gen-h-2004-2013,2007,175000,1600,Gasoline,Białystok,Podlaskie,16999
opel,astra,gen-h-2004-2013,2009,125000,1364,Gasoline,Babica,Podkarpackie,18200
opel,astra,gen-h-2004-2013,2009,215000,1598,Gasoline,Chrzanów,Małopolskie,14999
opel,astra,gen-h-2004-2013,2005,206000,1598,Gasoline,Szpetal Górny,Kujawsko-pomorskie,12900
opel,astra,gen-h-2004-2013,2004,170000,1598,Gasoline,Wolbrom,Małopolskie,11900
opel,astra,gen-h-2004-2013,2008,123000,1598,Gasoline,Dojazdów,Małopolskie,16900
opel,astra,gen-h-2004-2013,2007,210319,1598,Gasoline,Gliwice,Śląskie,13500
opel,astra,gen-h-2004-2013,2004,170000,1598,Gasoline,Swarzędz,Wielkopolskie,11500
opel,astra,gen-h-2004-2013,2007,182000,1598,Gasoline,Wolbrom,Małopolskie,14900
opel,astra,gen-h-2004-2013,2008,112846,1598,Gasoline,Skępe,Kujawsko-pomorskie,15900
opel,astra,gen-h-2004-2013,2007,293966,1796,LPG,Piaseczno,Mazowieckie,11000
opel,astra,gen-h-2004-2013,2006,198000,1598,LPG,Włodawa,Lubelskie,12250
opel,astra,gen-h-2004-2013,2007,195000,1686,Diesel,Zamość,Lubelskie,13900
opel,astra,gen-h-2004-2013,2006,212000,1600,Gasoline,Zwoleń,Mazowieckie,10700
opel,astra,gen-h-2004-2013,2004,232000,1598,LPG,Kórnik,Wielkopolskie,8900
opel,astra,gen-h-2004-2013,2009,193000,1398,Gasoline,Gniezno,Wielkopolskie,15999
opel,astra,gen-h-2004-2013,2009,169232,1598,Gasoline,Sławno,Zachodniopomorskie,17900
opel,astra,gen-h-2004-2013,2005,200670,1796,Gasoline,Konin,Wielkopolskie,10900
opel,astra,gen-h-2004-2013,2006,232000,1600,Gasoline,Łask,Łódzkie,11950
opel,astra,gen-h-2004-2013,2007,288000,1910,Diesel,Włocławek,Kujawsko-pomorskie,14000
opel,astra,gen-h-2004-2013,2008,200000,1686,Diesel,Środa Wielkopolska,Wielkopolskie,11900
opel,astra,gen-h-2004-2013,2011,211000,1686,Diesel,Warszawa,Mazowieckie,14700
opel,astra,gen-h-2004-2013,2009,164000,1598,Gasoline,Antonów,Śląskie,19800
opel,astra,gen-h-2004-2013,2004,341000,1686,Diesel,Katowice,Śląskie,5200
opel,astra,gen-h-2004-2013,2008,169000,1686,Diesel,Ostrówek,Łódzkie,12900
opel,astra,gen-h-2004-2013,2005,153966,1796,Gasoline,Posada,Wielkopolskie,13600
opel,astra,gen-h-2004-2013,2010,183000,1598,Gasoline,Czechy,Łódzkie,21700
opel,astra,gen-h-2004-2013,2005,169886,1598,Gasoline,Nowy Sącz,Małopolskie,15900
opel,astra,gen-h-2004-2013,2008,146000,1598,Gasoline,Wrocław,Dolnośląskie,14600
opel,astra,gen-h-2004-2013,2004,209000,1796,Gasoline,Zduńska Wola,Łódzkie,12900
opel,astra,gen-h-2004-2013,2008,213000,1598,LPG,Bodzanów,Małopolskie,14900
opel,astra,gen-h-2004-2013,2005,237000,1364,Gasoline,Bodzanów,Małopolskie,13900
opel,astra,gen-h-2004-2013,2011,217000,1364,Gasoline,Orzesze,Śląskie,26999
opel,astra,gen-h-2004-2013,2006,93224,1364,Gasoline,Białogard,Zachodniopomorskie,14500
